S1M1	S2M1	S3M1	S4M1	S5M1	S6M1	S7M1	S8M1	S1M2	S2M2	S3M2	S4M2	S5M2	S6M2	S7M2	S8M2	S1M3	S2M3	S3M3	S4M3	S5M3	S6M3	S7M3	S8M3	S1M4	S2M4	S3M4	S4M4	S5M4	S6M4	S7M4	S8M4	S1M5	S2M5	S3M5	S4M5	S5M5	S6M5	S7M5	S8M5	S1M6	S2M6	S3M6	S4M6	S5M6	S6M6	S7M6	S8M6	S1M7	S2M7	S3M7	S4M7	S5M7	S6M7	S7M7	S8M7	S1M8	S2M8	S3M8	S4M8	S5M8	S6M8	S7M8	S8M8	y
-6	-3	0	2	-16	4	3	19	2	3	2	4	-21	8	-5	-4	1	-2	0	2	26	-3	1	13	7	-2	-2	-1	-6	0	-1	-9	3	1	-1	-2	-9	-6	-1	-8	-17	1	-1	3	10	11	-2	-7	9	-1	-2	0	6	22	1	-1	1	2	-2	0	7	-10	-1	4	tijeras
-4	0	-2	-3	1	-30	-12	-16	2	5	-6	-6	-7	0	0	15	0	1	6	4	-34	-32	-7	12	19	23	-4	-2	14	35	6	-3	2	-20	1	4	1	-4	-6	5	2	5	-6	1	19	38	-5	-19	6	33	11	2	-25	-18	8	18	1	-23	-1	-4	13	-39	-4	-17	papel
-5	-1	-4	10	-15	-3	-9	-7	1	2	7	4	8	-11	13	30	-30	17	-23	-8	-12	-13	-42	-17	-17	16	10	-6	-1	-4	36	-6	86	-45	0	6	12	9	7	7	-9	-13	-3	-6	2	-8	-59	7	1	12	6	1	11	12	49	4	-4	7	-6	-8	-3	17	5	3	piedra
-6	-4	-3	0	5	16	18	4	0	2	1	-1	-3	-12	-21	1	-1	1	-1	-3	4	7	-7	-3	9	-4	-3	-2	-4	-11	-90	-10	-46	3	1	0	-12	-19	59	22	60	5	6	11	11	25	21	21	-6	-1	-2	1	7	6	-33	-37	8	0	-3	-7	-12	-4	95	46	piedra
20	38	5	5	1	-8	2	18	10	-7	2	0	-21	-11	-6	-3	-12	16	-1	3	39	21	0	6	16	-27	-6	-7	-47	-73	-6	-15	2	9	2	-3	-2	14	1	4	-5	-18	-5	-8	-1	12	1	-14	9	38	8	9	-10	-19	-3	5	-7	-15	-5	7	24	17	5	-2	papel
11	-65	-23	-5	26	-15	0	0	-20	-28	22	22	-18	35	-17	-24	0	-2	-4	-2	1	-2	4	3	6	14	-4	-8	-7	-10	-8	9	0	26	-2	-4	1	-12	-11	5	-7	10	-9	-5	-1	20	-5	-13	19	-9	2	-1	-20	-43	-11	-2	5	12	-3	0	0	39	11	-14	papel
-11	-4	0	-2	-18	-11	2	-15	-12	-5	2	1	-17	8	4	2	6	0	-3	-2	-9	-8	-13	1	38	10	2	2	-5	1	6	-3	-23	-18	-2	-1	16	8	-8	-3	7	0	-2	-2	-18	-3	1	-6	-9	-1	-2	-4	4	18	0	14	-25	-9	2	5	0	-13	-4	-3	tijeras
-4	-6	-4	-5	-1	-17	13	24	1	5	6	4	-22	-14	9	-2	2	-5	-5	-2	15	-25	-5	-16	-1	-1	3	-3	-3	-27	-6	1	2	-2	2	-1	-12	7	1	-5	-6	-3	-8	-11	-15	-57	-20	-3	0	2	1	6	8	49	16	-2	8	-5	3	4	7	19	2	5	ok
-16	-7	-5	5	11	-17	0	-1	7	11	7	-12	-14	0	3	-4	-43	54	21	1	-1	7	4	1	-9	-1	-6	4	26	-23	-5	-20	21	-49	-17	-11	-62	13	-5	9	-28	-4	1	5	-6	-6	-5	4	109	14	2	6	7	23	7	20	-13	28	1	1	15	-8	2	13	papel
27	-3	-3	9	-5	5	-57	36	-3	-2	-2	2	-2	4	110	12	33	18	14	6	20	-6	-20	-5	-30	-15	-13	-1	-11	1	-4	-5	-4	-4	12	1	2	-8	-24	-10	-9	-3	0	-1	2	31	-37	-22	-7	-7	-1	7	8	-7	23	38	-44	-11	-4	-20	-6	6	-101	-18	piedra
15	-1	-2	1	26	-11	-1	-2	5	2	0	0	-54	-7	-2	2	6	3	-2	-3	9	-8	2	-10	-17	-4	-3	-2	17	1	-3	-3	-1	-2	0	-3	-23	-4	0	-4	-2	-3	0	0	20	28	1	-8	4	0	-4	-2	8	-12	2	2	10	6	6	4	-29	-42	3	13	tijeras
-14	-6	-6	-1	41	38	0	-4	-2	4	5	6	-52	-53	-2	-1	22	1	-1	-4	-36	-49	-4	1	5	-1	-3	-5	23	-2	5	10	-2	1	-3	-2	-5	10	2	-3	-18	-6	-2	-4	13	43	0	-8	4	4	0	5	8	4	0	4	2	6	2	0	-14	-17	-3	0	tijeras
4	0	-1	-2	-12	3	-1	-6	29	5	1	2	14	-8	-2	2	-3	0	-1	-3	-17	-9	0	3	27	3	-1	-2	8	8	2	8	-11	-4	-4	-2	1	8	2	-1	-21	-2	-3	-1	6	5	-3	-4	1	-6	-7	-8	-3	63	-1	-6	0	2	7	15	1	-50	-3	5	tijeras
-26	-9	21	12	2	-1	89	6	-33	-10	-3	12	19	-13	-84	16	17	16	3	-18	-39	-51	-82	-37	31	23	-6	-12	35	4	100	21	-88	-4	-10	-3	-9	23	3	-5	62	-13	4	22	7	10	-16	17	-32	5	0	8	5	22	-6	-24	41	25	7	-18	-30	-24	-128	-23	piedra
-1	-2	-4	-9	47	35	-2	-6	0	0	0	0	-9	1	0	3	-15	-4	-2	-3	0	6	-1	-1	18	0	2	3	-46	-45	-2	-2	1	3	-3	-1	7	13	2	1	1	-2	0	-1	22	28	-2	14	-10	-4	-2	-3	-30	-28	-1	-16	-15	-3	-2	-2	7	-9	-2	-2	tijeras
1	4	3	2	-11	-34	-3	8	-16	2	4	0	26	37	17	-12	51	5	-1	1	-9	-18	-5	18	-16	3	-1	-2	-32	-19	-1	3	-5	-5	-2	-1	5	7	-1	-8	9	1	-6	-6	2	-62	-13	-4	-32	-9	-10	-16	-16	-57	-32	-32	12	0	7	15	13	20	27	15	ok
0	-14	2	-8	-2	-17	-4	-4	1	-22	-6	2	-18	47	4	-4	3	12	-10	-4	-19	-70	-11	29	-17	2	9	3	45	38	18	-42	-3	6	3	3	-43	-17	-6	4	3	-16	-12	-5	13	18	9	-4	8	18	12	-6	9	-57	2	-16	-7	-20	-22	-7	-9	6	-10	24	papel
7	3	-1	-9	-2	-4	-65	-36	-30	9	3	11	8	54	-32	10	-36	3	6	23	-20	-27	-85	9	-1	-10	5	5	11	-27	-45	-67	22	10	-3	-18	16	41	64	28	8	-9	-1	-3	-13	-14	-103	-10	-23	-3	-2	11	-1	-11	126	26	55	7	6	3	21	65	-1	28	piedra
-12	3	0	2	4	2	-3	1	75	11	-1	0	26	28	1	14	-9	0	-1	-5	-14	10	-5	-10	-1	4	-1	-5	-25	-25	-4	-2	-2	-3	0	2	-3	-31	0	6	-40	-11	-5	-3	25	9	-3	-11	16	4	4	6	-21	-44	-3	4	-3	-1	-5	-9	8	27	-3	-7	tijeras
-1	-2	0	8	8	-32	3	-1	-22	-13	-11	-18	-1	2	-16	-29	14	0	-6	-8	11	8	21	-12	4	0	4	23	-3	14	60	26	-8	3	3	-11	8	23	23	-7	5	5	3	1	-5	2	9	-3	-23	-2	4	28	8	-9	-58	-20	-52	-8	-8	-36	27	-21	-40	-51	piedra
2	-1	-3	-2	11	15	-7	-15	6	2	3	2	1	5	15	18	-12	-6	-5	-5	9	-11	-21	-8	-1	0	1	2	10	59	8	-6	1	3	-1	-1	-1	-19	2	6	4	1	2	1	-4	25	9	-5	-11	-7	-4	-1	3	-41	-15	-18	-12	2	4	0	5	6	1	17	ok
-6	5	-4	-3	-19	-20	0	34	-12	-20	4	8	30	16	27	-12	20	2	1	2	6	-30	-28	27	-1	6	-1	-2	-10	24	10	-8	89	68	6	-4	14	-24	-12	-14	-106	-73	-10	-8	-18	-61	-14	-4	0	1	4	7	0	57	2	4	2	-11	-5	-6	12	25	10	-1	papel
24	-6	-1	-6	-14	0	-5	28	6	0	-10	-9	1	-7	-3	10	-2	-1	3	3	16	8	8	1	-3	4	-3	4	5	18	-6	-2	-4	5	9	-8	-14	12	0	-17	6	-6	-1	10	29	-15	-1	-1	-7	-5	-6	-12	-7	1	4	-8	-2	6	1	1	1	-24	0	9	papel
3	2	-2	-1	-4	-2	-3	2	0	-3	0	2	-20	-27	-1	1	-9	-1	-2	-1	2	3	-1	-6	-2	3	-2	-5	-4	-15	-2	1	-9	-4	-2	-6	0	32	-1	-7	-2	-9	-3	5	64	25	1	-2	-5	0	1	2	-56	-53	-4	8	-33	-1	0	2	8	-15	-2	-9	tijeras
-24	1	1	-1	2	8	-13	6	29	-3	11	8	14	-17	23	-2	-11	-5	-1	-5	1	34	38	1	2	0	3	-8	-5	-1	20	-3	-23	0	-4	1	-6	2	-15	-4	23	8	6	3	1	-22	-23	1	-3	-6	-3	1	8	-3	7	11	1	12	-8	-5	-1	8	-14	1	piedra
3	-4	-4	-9	-10	7	-3	-6	-6	-5	-2	0	-13	1	2	8	-30	-3	0	2	-22	-14	-6	-8	33	5	-5	-8	30	14	3	3	1	-1	-5	-5	8	41	-1	-3	-7	3	3	8	-21	-50	3	5	-9	-3	1	-1	-13	-25	-2	-2	-15	-6	0	0	22	24	-4	-3	tijeras
-10	1	3	3	25	43	7	-5	27	0	-1	-3	-20	-44	-4	-3	-2	-1	-2	-2	1	1	-5	-7	3	0	1	7	18	-4	-1	-1	-9	-3	-3	-2	21	-6	-5	22	7	0	6	3	-36	-7	16	-1	-1	-2	-3	-7	0	-27	-10	-11	5	0	0	0	6	38	9	-4	ok
2	1	2	1	-14	-2	0	-3	-25	-5	-5	-7	8	27	0	-6	35	1	0	-1	11	18	0	-2	-11	1	1	0	-26	-30	0	9	10	1	2	3	-7	-8	-4	-3	-8	-1	0	-1	10	7	-1	-3	-20	-5	-2	0	16	9	-1	-5	12	-3	-6	-10	4	21	-1	-4	tijeras
-10	-2	-3	2	0	8	-21	2	4	6	0	6	-3	-16	-26	-4	-83	3	-12	-10	-14	-11	-29	-26	83	-10	10	10	10	-23	-36	-13	-17	14	2	-11	9	21	34	8	39	-6	-5	-3	-8	-10	-77	-32	12	-14	-4	3	9	26	89	27	-27	8	-4	-22	-6	29	20	21	piedra
1	3	0	-1	-3	0	-2	-2	2	-2	1	2	6	4	-3	-3	-3	0	1	3	-17	-24	-3	-2	5	0	0	4	-7	-9	1	-2	-2	0	1	-3	19	2	-1	-6	11	-4	-5	-4	4	36	2	3	-5	3	3	1	7	-10	-1	3	0	0	-2	2	5	-18	-3	-12	tijeras
10	-6	-3	3	-4	-7	5	21	-12	-4	-2	5	-3	-1	21	-12	-13	10	-3	-12	-27	-27	11	-3	-3	-10	-5	4	37	38	-6	-18	2	-6	-9	-4	-9	-3	-14	-17	21	35	8	-3	-3	7	-15	12	7	-45	-5	-3	6	-7	20	7	-25	-7	-8	-5	-11	-12	-23	-5	piedra
-13	1	-3	-8	13	29	1	-4	50	5	0	0	-21	-26	-3	16	-19	0	4	3	-8	0	1	-9	-3	-6	1	5	-29	-13	-4	-6	-1	0	-2	-3	14	4	2	6	-10	-3	-3	2	16	10	-2	0	-10	5	3	-1	-13	-27	-2	0	9	-1	-1	1	18	12	9	2	tijeras
10	5	5	0	-11	49	23	17	-8	2	1	0	5	-78	-11	-27	-2	-2	-3	-1	-5	29	3	2	-12	-3	-2	-2	2	-2	-2	-20	-1	-3	-2	0	4	0	-1	-2	41	-2	-3	-1	0	-18	-8	20	5	3	0	-4	-25	15	0	-3	2	2	1	5	34	4	6	-5	ok
20	-8	-3	5	12	-21	-17	-14	-45	2	-2	-13	-11	5	-33	-7	74	-5	-4	0	-6	12	-3	5	5	7	3	11	10	-5	42	-3	-28	-2	-1	-5	1	-9	2	-11	13	0	0	8	-9	-22	-10	26	-20	-4	-1	-7	9	13	6	4	8	-3	-4	2	-9	-13	-13	-5	piedra
5	-2	-3	-5	-35	-11	4	18	-9	-8	8	5	22	-7	2	11	12	3	-4	-9	6	-8	0	1	-19	-5	0	8	10	-17	-9	-17	-11	8	5	3	-14	-8	3	-5	3	-9	-7	-6	1	27	1	3	-4	-2	-13	1	31	-18	-6	-15	23	54	18	-3	-25	-14	7	38	papel
8	0	9	6	-11	-29	-17	0	-8	-13	-2	-7	0	6	32	10	9	2	-3	-3	-4	0	-22	-8	-12	-2	-1	-4	-3	-17	-65	-19	6	-2	1	12	19	7	87	-6	-3	4	-4	-14	-21	-11	-35	8	9	-25	1	8	9	17	35	-4	-5	10	-7	1	2	5	22	-3	piedra
-3	-7	-4	-3	-14	-41	-13	-7	-1	6	-5	-3	12	38	16	4	6	-1	-3	-3	0	-5	-13	5	-14	2	2	4	10	51	18	-20	-3	-1	3	3	6	20	-1	-11	-7	1	4	2	-4	39	10	19	9	-6	0	-2	-10	-24	1	11	-4	-4	-2	-4	21	14	3	-1	ok
6	-1	1	-3	-15	-23	6	-3	-4	-2	-2	1	-11	-2	-7	-21	-11	-3	-5	-2	-9	21	0	22	16	-1	-3	-4	22	4	9	16	-3	0	1	3	21	71	10	-6	0	4	4	3	-22	-12	5	-8	1	-5	-6	0	-25	-34	-5	9	-13	-3	-5	-9	-9	-44	-12	-11	ok
27	37	0	2	1	-33	7	-14	-1	-38	-5	-1	19	22	0	-16	-5	16	2	4	-8	15	-1	20	14	2	-5	1	-11	-33	-3	28	-8	-3	2	-3	-13	2	-11	7	10	1	0	-2	-16	2	2	-12	-8	-7	-8	-8	-13	-11	-6	-9	0	0	6	9	35	-18	-2	-17	papel
10	2	-2	-2	10	30	20	2	-2	3	6	7	-28	-2	4	5	10	2	2	-1	8	-5	-2	6	-2	-1	-2	-2	1	-14	-9	-5	-4	-2	-3	2	15	7	-7	-3	2	0	0	-2	-16	-38	0	10	-7	-3	-4	-8	-10	19	9	0	-6	-1	-3	-2	14	-32	-13	-13	ok
16	4	4	2	-50	-43	-2	0	-35	1	0	-1	36	-3	2	-3	-1	0	2	5	1	1	-1	-1	-16	-4	-3	-2	-17	13	-1	-10	-23	-1	-2	-1	12	-8	-2	-10	41	0	0	-4	-36	-10	-6	4	-10	-3	-3	-2	18	10	1	0	-8	2	1	1	17	15	1	-17	tijeras
-45	-91	-23	-4	-2	-12	0	8	40	60	2	-5	-25	-15	-5	-13	-16	-50	-2	3	26	-18	-10	33	-17	1	-4	-2	29	28	0	-36	24	38	18	-1	-31	-53	1	18	65	15	1	-2	15	21	-1	-11	-50	-37	-9	-3	0	23	13	0	-11	-17	2	-3	-7	5	-10	10	papel
-18	1	2	2	-1	55	1	1	8	-2	-1	1	8	-3	24	9	2	2	1	0	-12	-5	1	-14	5	-1	-3	-6	-3	-34	-9	-10	-6	-4	-3	-1	-1	-22	-2	-1	-7	1	-2	-4	-4	4	-10	-6	0	-2	-2	0	18	56	2	7	19	5	2	-1	-12	-46	-2	0	ok
10	2	1	6	10	-14	0	1	-9	-4	-5	-6	15	37	-4	-6	-13	6	7	4	-51	-68	3	5	4	4	0	0	-3	3	-6	-7	-8	-3	-9	-6	4	25	4	-6	-8	-4	0	1	23	27	-1	-2	7	-2	4	6	-2	-25	-1	0	-6	-7	-5	-3	-23	-8	-6	4	tijeras
-8	6	2	-3	-2	16	5	-5	1	17	6	-6	3	-14	-33	3	-11	-16	-13	1	-1	18	-50	-8	-6	20	12	5	-15	-17	-3	3	11	-18	-7	-5	27	-10	31	6	-16	0	-4	-7	3	29	34	-2	-48	3	5	15	2	-15	-13	29	67	-3	3	-8	-9	29	45	-9	piedra
17	4	-1	-2	-3	1	2	14	-2	-5	-5	-6	17	48	-1	-7	-11	0	2	-3	10	-36	3	11	3	3	4	2	-25	-23	-2	-6	-9	-6	-3	-5	-2	30	1	-1	-13	3	3	10	-13	-49	-2	-9	10	-1	0	1	29	14	-2	-7	-10	-9	-3	0	71	37	4	11	tijeras
-7	-2	-1	-1	4	29	7	-8	26	1	1	-1	-2	11	-6	-15	-7	-3	-8	-9	0	-26	-6	3	-3	1	1	4	2	-26	0	-17	2	-2	0	4	3	14	0	6	-3	-3	-3	-2	9	27	1	-1	-6	3	0	-1	1	13	1	0	-3	-2	-3	-5	-9	-33	-7	0	ok
39	13	-9	-39	30	-9	123	50	-10	-11	7	15	-10	39	-26	-10	9	38	-1	-3	-9	-15	-39	-1	-7	-36	-3	5	15	30	71	19	-46	-9	-2	-1	-6	-28	-77	-13	49	3	6	9	-8	18	-33	-19	-23	3	-13	-20	2	-38	33	-8	30	6	1	3	25	11	53	60	piedra
36	0	4	5	-8	-3	4	-14	-1	-2	-8	-11	-16	1	-8	21	-5	8	2	0	20	-8	-10	-24	13	-3	-5	2	1	4	-1	-18	-32	0	-1	2	3	2	6	4	23	8	4	-1	6	8	42	6	-19	2	-5	-4	-1	1	-6	5	23	-8	4	4	-5	-2	5	11	piedra
31	4	11	25	10	-23	-3	26	-1	-4	-9	-30	-21	-55	-19	6	-1	-5	-6	-11	11	49	6	6	-2	-9	-7	-18	-17	-7	-19	-14	-22	-4	0	9	-15	-2	3	-15	6	6	7	17	15	33	7	2	4	-4	-3	-4	-1	-32	-1	-6	11	0	-2	-1	-6	-2	1	17	ok
-6	-2	-7	-4	-2	-18	-7	5	-30	-13	0	1	10	4	11	-15	33	5	0	1	-4	9	1	-1	-1	0	0	0	4	6	-6	13	-2	-1	0	-2	-5	-51	-5	18	-6	1	-2	1	2	32	2	6	-8	-6	-4	-1	-2	-38	-4	-4	-6	-4	-2	-5	-11	-19	-13	-5	ok
2	3	0	1	-29	-39	0	3	-2	-4	-7	-4	11	-8	-2	2	-4	-1	-3	-4	-1	21	-1	-1	0	-2	-1	-1	-19	-4	-5	-2	-1	3	1	-2	7	19	9	-16	11	-1	1	2	-1	-1	8	35	2	2	3	-2	-45	-61	-10	2	-5	-3	-1	0	52	30	4	0	ok
-7	0	-2	-2	-7	-7	-2	-5	5	-1	0	-2	5	-5	-1	-1	-20	-3	-3	-1	21	39	1	-4	-6	1	-1	-4	13	17	-1	1	11	-1	0	-1	-19	-12	-3	-1	-20	-2	-3	1	0	-18	-5	-7	12	0	-5	-11	43	50	-1	-12	1	2	8	14	-67	-43	5	36	tijeras
20	4	3	2	7	60	10	7	-14	11	23	3	3	33	4	2	8	5	-5	-4	-4	-26	-9	-11	0	-11	-1	3	65	57	1	-5	-4	-36	-8	-6	-36	-36	-4	8	-13	15	-3	5	-7	-20	0	4	3	0	3	0	7	10	-1	-1	-10	-25	-5	-10	-2	7	-4	-19	papel
-20	-13	0	-5	0	-4	-7	8	-17	-2	0	3	8	-21	-6	-33	2	2	0	4	2	45	4	42	9	-2	-5	-3	-12	8	21	-10	3	11	6	0	14	-26	-20	2	1	-3	0	-7	-3	13	12	1	0	-9	-3	3	21	27	4	-4	-2	-2	-4	-1	-23	-20	4	0	papel
-18	-3	2	1	1	-4	11	0	11	1	1	5	-9	-3	-12	1	-10	-1	2	5	20	-1	-3	-15	-1	1	-2	-13	-4	4	1	2	8	-1	-3	-5	15	-6	-2	-1	-4	0	2	11	-2	11	-5	1	6	-1	-1	-11	-10	4	7	5	-9	-1	1	2	-11	-5	-34	-13	piedra
-4	-1	-1	1	15	43	-4	-13	-4	-1	0	-1	-13	-3	0	10	-6	-3	-1	0	1	-4	1	-2	1	-5	-4	-4	-8	-29	-5	-7	2	2	0	2	12	33	7	2	6	2	0	0	-11	-16	-1	0	-5	-2	-5	-5	-2	-75	-8	1	6	2	3	9	6	83	3	-3	ok
-5	0	-3	-2	2	12	-3	2	7	0	0	-3	1	1	0	2	-9	-6	-1	-2	-2	6	0	-3	-14	-5	-1	-3	29	11	-1	-1	2	0	1	2	-27	-27	1	-8	-7	0	-1	-1	5	7	1	-1	19	0	0	-1	-19	-18	0	3	3	2	0	0	15	-2	-2	8	tijeras
2	-20	-9	-6	-7	3	-7	-4	-15	19	5	0	1	-43	-86	5	33	7	1	-2	-17	-30	-49	-50	22	-9	5	-9	5	30	110	84	-11	6	-3	3	30	51	47	2	39	-1	9	14	19	28	-9	8	-30	6	4	12	1	-21	-84	0	-13	-12	-6	-3	-18	-24	-65	-44	piedra
-3	2	-3	-6	-3	8	1	0	-2	-6	-2	-1	15	28	1	-6	-7	-5	-2	-9	-6	-2	0	5	-22	3	2	3	-3	-3	2	-2	52	7	2	-2	-11	-3	2	9	-18	-7	2	5	40	29	0	-24	-5	3	-2	-2	-20	-5	-2	4	-1	-3	3	3	-6	-28	1	4	tijeras
-29	-5	-1	-1	33	41	7	-28	28	12	6	5	-26	-17	11	5	-1	8	2	19	2	-11	-15	-12	-7	-5	5	17	15	-4	-3	22	0	4	-7	-29	14	-29	-10	-17	-9	-13	-2	-4	-20	-81	-6	4	32	28	2	1	-19	33	8	-14	14	6	1	-1	4	-63	-11	0	ok
-18	0	0	-1	-10	-24	4	-6	13	1	-7	-9	6	-25	-9	-6	-6	1	1	6	-27	-34	-13	5	-6	-1	0	2	15	26	11	-2	7	-2	3	3	6	20	-5	8	-3	-2	-6	-9	7	15	0	-1	-5	-4	-1	2	-16	-48	-5	-10	12	-2	-1	-5	-6	-31	-4	-5	ok
-11	0	1	-1	-10	11	-1	-12	-13	-3	2	-3	-40	-15	2	3	-4	-1	1	2	27	16	0	-3	10	7	-6	-5	-6	17	-6	-8	-18	-12	-1	0	38	7	-5	-8	-13	-1	4	6	-22	-28	-3	-1	11	-5	-8	-11	30	34	-5	-2	-5	-1	9	17	-33	-54	4	2	tijeras
3	-4	-4	-2	10	-4	-3	-3	-4	-1	-2	1	1	-10	-15	-5	-4	-3	-6	-8	6	-37	-5	-6	-10	-4	-1	-2	-23	6	-2	-5	-2	-6	2	2	10	-9	-8	-3	5	4	0	1	1	21	6	-7	3	-1	-2	-2	2	7	0	-3	4	-4	-3	3	7	40	8	4	ok
8	-19	-4	-4	33	99	-4	6	-6	1	0	10	-1	-6	-2	-35	-1	-2	3	5	24	37	-33	-6	-19	-5	0	2	25	28	-22	-31	13	13	7	7	-21	-26	45	47	-17	-23	-10	-15	21	6	9	9	38	8	-1	-3	12	-18	19	19	-11	-5	0	9	-36	-26	-14	-11	ok
-6	-8	-5	-3	-10	-30	-8	-12	22	-3	-5	-6	-2	12	6	2	-2	-14	8	-7	-5	14	3	26	-7	23	-2	4	18	-31	-18	-35	5	6	8	4	-17	33	0	1	-17	-44	-5	6	2	-1	2	-5	59	21	3	-2	-7	35	18	7	-92	-21	-5	-1	35	-2	-12	13	papel
-12	-2	3	-2	-10	10	12	16	27	-9	-10	-3	25	-6	-23	-26	-54	18	-7	1	-5	14	0	-8	13	-10	10	-8	13	-3	10	-8	42	4	-4	19	-15	-8	-50	16	17	-12	-3	-28	23	8	71	-27	-47	-15	-1	7	-9	10	-2	2	4	19	3	-3	-12	4	-4	-13	piedra
-26	-3	-1	-6	-13	-8	6	-1	-14	-5	-1	9	30	1	-20	-25	-9	-2	0	-2	-19	0	-32	3	21	1	0	-7	-4	0	45	18	-3	1	0	4	32	8	-30	-26	-21	-2	3	17	5	-2	36	22	15	-1	-2	-2	3	-1	10	5	-1	2	1	4	-12	-7	-12	-2	piedra
2	-14	-9	-7	-12	-4	-6	10	-16	-4	0	1	1	-4	4	-1	9	4	4	3	2	-15	2	-7	6	15	-2	-6	-13	-22	0	1	-16	-27	-4	-2	5	28	-4	4	19	5	-3	3	17	14	-2	28	5	-20	4	-1	-9	-14	-7	-38	7	11	-3	4	11	49	6	48	papel
-22	6	15	28	-13	-23	-93	-15	-33	-10	-7	-27	19	-30	-126	-68	47	1	-10	-30	-9	16	104	44	-30	-1	1	8	-9	-5	33	-2	-7	14	-4	-5	11	28	23	-1	7	-24	0	18	-8	3	-1	2	-1	-21	-1	1	8	-18	-101	-14	-28	-2	-3	-1	-9	-25	-1	-24	piedra
-4	-8	-6	-5	35	54	-4	-8	9	5	5	3	-61	-76	4	3	-3	5	5	3	-1	-18	-2	9	-11	-2	-2	-3	29	35	0	7	2	2	0	1	-16	-18	0	8	-9	-10	-7	-6	11	42	0	-1	2	5	1	5	34	-4	0	-6	1	-3	-1	-6	-27	-2	-1	-2	tijeras
-14	0	-1	-1	-2	-11	-6	0	-3	2	3	3	2	-15	1	3	34	-1	-4	-7	15	29	-3	-7	-4	1	-1	1	-6	-4	1	4	3	1	-1	-3	1	5	2	-1	6	-5	-5	-4	0	21	-1	4	-13	4	7	5	0	-20	-2	-5	-31	-2	0	1	2	-28	-5	-2	tijeras
-34	-3	-4	-15	-18	13	38	15	48	1	1	2	-12	-12	-58	-8	-7	0	-1	-6	15	9	-13	2	-4	-5	-5	0	-5	6	20	-9	6	1	2	10	6	-3	34	-4	-29	-2	-6	-2	14	3	-34	-15	22	-1	-3	-4	-9	-7	-32	-3	-15	3	6	0	10	4	30	22	piedra
-28	32	11	7	-10	-73	74	38	-16	-4	-14	-2	-6	30	-2	28	8	12	32	14	21	-10	47	11	41	57	-21	1	3	-6	-25	-30	-28	-63	-6	12	29	-12	-16	1	-33	94	-17	-63	-60	37	25	14	-26	-121	1	20	-6	-71	17	-17	44	57	10	-7	22	82	62	44	piedra
-1	0	0	4	37	84	9	-1	1	5	6	0	-5	-16	4	9	-8	-2	-2	-4	-6	-61	-9	-13	0	1	4	2	9	52	4	-4	1	-1	0	-1	8	4	1	-4	-1	-3	-4	-2	21	6	-2	20	2	5	3	4	-14	-15	11	10	-10	-6	-8	-8	-2	-13	-10	-8	ok
-1	3	-2	-4	-11	5	0	6	-2	0	-3	-3	-4	-3	-6	-8	0	-1	1	4	4	-4	-22	-5	-2	2	1	-1	-1	-3	16	6	-2	1	2	5	4	-2	-21	-9	-1	2	2	2	-5	2	1	2	-2	-6	-4	5	18	-1	33	2	0	3	0	-6	-37	1	-16	0	piedra
1	-5	-4	-2	-9	-47	-11	13	-2	-1	-2	-2	23	83	12	4	-2	3	4	2	-34	-15	3	-10	-2	3	1	0	5	-15	1	30	3	0	3	1	12	23	3	-4	-1	-5	-7	-3	10	-27	-13	-4	1	1	-1	-5	-10	15	10	6	-2	-3	-3	-3	7	-25	-9	-12	ok
-8	-3	-2	-18	-51	-43	-8	-15	21	-13	-4	3	11	-1	-5	15	-7	18	20	10	60	33	11	3	-10	-25	-7	1	-30	16	-1	-9	-1	26	7	8	-8	6	0	6	-28	-19	-3	-11	-5	-4	-9	-19	12	-3	3	-1	4	-4	6	30	-14	-25	-10	-5	4	14	2	-7	papel
3	-3	-5	-6	16	53	1	-7	5	-6	-5	-2	31	-18	-4	-9	-11	5	6	8	-38	-72	3	10	4	0	0	-2	-3	-24	-2	-5	-20	-6	2	3	-7	-19	-2	-17	19	-4	-6	-8	32	72	1	16	8	7	-9	-10	62	124	-2	-6	-15	-6	16	19	-103	-120	-2	0	tijeras
2	3	4	10	-38	-40	7	0	29	4	4	2	-13	-19	-24	6	5	0	0	1	9	15	16	-6	11	1	2	2	-7	-53	11	-6	-13	-6	-8	-9	6	31	5	-3	-6	-3	-1	-3	7	20	7	6	0	-1	-3	-3	-12	-34	-21	-6	-3	-1	0	-2	8	15	-10	-11	ok
2	-1	-3	-2	3	1	-3	-3	-1	-4	-4	-2	-29	-57	-7	-8	4	-4	-5	-4	33	6	-4	11	-9	-2	0	5	22	47	8	-32	3	2	2	1	-15	-46	-2	11	0	0	-2	-2	4	50	6	-5	-3	-2	-1	-2	9	-8	-3	-6	-8	-4	-2	-1	-2	0	-9	-6	ok
-12	-3	-5	-2	-2	-10	-20	-21	11	-1	-3	-4	-7	-7	-64	2	-11	-3	-1	6	8	-1	5	13	5	0	2	-1	-6	-3	2	7	0	-5	-5	-11	-10	-2	2	-23	-16	0	0	-3	-15	-22	-13	-5	3	-2	-6	-1	11	12	-36	-12	-28	-1	-3	5	-6	11	34	15	piedra
